GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Logic,Model.GameBoard,Piece,28,0,0,0,12,0,6,0,6,0
Logic,Model.GameBoard,Tile,53,0,4,0,17,0,10,0,8,0
Logic,Model.GameBoard,Move,48,0,0,0,20,0,8,0,8,0
Logic,Model.GameBoard,Location,23,0,0,0,10,0,5,0,5,0
Logic,Model.GameBoard,GameBoard,571,0,64,0,88,0,45,0,13,0
Logic,Model.GameBoard.Type,MoveType,45,0,0,0,5,0,2,0,2,0
Logic,Model.GameBoard.Type,TileColor,37,0,0,0,6,0,3,0,3,0
Logic,Model.GameBoard.Type,PieceColor,37,0,0,0,6,0,3,0,3,0
Logic,Model,Player,25,0,0,0,11,0,6,0,6,0
Logic,Logic,Game,121,0,8,0,37,0,19,0,15,0
